brand,model,generation,url
Hyundai,Getz,1 поколение [рестайлинг] (2005 - 2011),https://static.am/automobile_m3/document/l/3/2c/32ce5054a700bba221a5bd7eb0b5604e.jpg
Hyundai,Getz,1 поколение [рестайлинг] (2005 - 2011),https://static.am/automobile_m3/document/l/7/b6/7b6b62378ace4fff2b913491104ae2ff.jpg
Hyundai,Getz,1 поколение [рестайлинг] (2005 - 2011),https://static.am/automobile_m3/document/l/a/c1/ac19a49359b643bc0b2572bfdf468eda.jpg
Hyundai,Getz,1 поколение [рестайлинг] (2005 - 2011),https://static.am/automobile_m3/document/l/9/89/989ec773781f5f22c1208a0bf9bf56f1.jpg
Hyundai,Getz,1 поколение [рестайлинг] (2005 - 2011),https://static.am/automobile_m3/document/l/e/18/e18df8dc913f33e304ec56f8f53ee7ab.jpg
Hyundai,Getz,1 поколение [рестайлинг] (2005 - 2011),https://static.am/automobile_m3/document/l/b/5e/b5ef365855c3d85e69c0881399724a4a.jpg
Hyundai,Getz,1 поколение [рестайлинг] (2005 - 2011),https://static.am/automobile_m3/document/l/b/a4/ba4857687034c3c098be40c14eb8306e.jpg
Daewoo,Nexia,1 поколение [2-й рестайлинг] (2008 - 2016),https://static.am/automobile_m3/document/l/9/51/951afa9b72312fd17fa75352b4545939.jpg
Daewoo,Nexia,1 поколение [2-й рестайлинг] (2008 - 2016),https://static.am/automobile_m3/document/l/3/63/363b78fe5d9ea9324e421f1ee39271ab.jpg
Daewoo,Nexia,1 поколение [2-й рестайлинг] (2008 - 2016),https://static.am/automobile_m3/document/l/0/69/069ad0d97f1dd212f0c066d24baf345a.jpg
Daewoo,Nexia,1 поколение [2-й рестайлинг] (2008 - 2016),https://static.am/automobile_m3/document/l/b/1f/b1f1fce32aff907f598fc14806a95b9e.jpg
Daewoo,Nexia,1 поколение [2-й рестайлинг] (2008 - 2016),https://static.am/automobile_m3/document/l/9/08/908f0132b0e7f7b575502cb4c219ca77.jpg
BMW,1 серия (116),E81/E82/E87/E88 [рестайлинг] (2007 - 2012),https://static.am/automobile_m3/document/l/8/13/813fe7d2175dd83d80846dfb50114147.jpg
BMW,1 серия (116),E81/E82/E87/E88 [рестайлинг] (2007 - 2012),https://static.am/automobile_m3/document/l/d/9e/d9e627de553710f2ed6a09d2e72e6d6e.jpg
BMW,1 серия (116),E81/E82/E87/E88 [рестайлинг] (2007 - 2012),https://static.am/automobile_m3/document/l/c/89/c897981f111f260970730ea2bcbd9be8.jpg
BMW,1 серия (116),E81/E82/E87/E88 [рестайлинг] (2007 - 2012),https://static.am/automobile_m3/document/l/a/ea/aea78a25e38184fb65f09664c012dfd5.jpg
ВАЗ (Lada),2114,1 поколение (2001 - 2013),https://static.am/automobile_m3/document/l/3/3e/33e84954781060c2f398ee09bdacc229.jpg
ВАЗ (Lada),2114,1 поколение (2001 - 2013),https://static.am/automobile_m3/document/l/0/db/0dbb9359d5e8c8109169ddd0851c7b49.jpg
ВАЗ (Lada),2114,1 поколение (2001 - 2013),https://static.am/automobile_m3/document/l/d/d3/dd33dd115c0af414f18d8b4c12557fa5.jpg
ВАЗ (Lada),2114,1 поколение (2001 - 2013),https://static.am/automobile_m3/document/l/0/ec/0ec82b6a91e43f7e9fb94c9b8dadae72.jpg
ВАЗ (Lada),2114,1 поколение (2001 - 2013),https://static.am/automobile_m3/document/l/4/bc/4bc18d1d2a41741ffd17266dfe9130f3.jpg
ВАЗ (Lada),2114,1 поколение (2001 - 2013),https://static.am/automobile_m3/document/l/d/55/d5566ea6c4f5304d8afad5c45207230e.jpg
ВАЗ (Lada),2114,1 поколение (2001 - 2013),https://static.am/automobile_m3/document/l/1/dc/1dc07f047e5899331a5ffcbb135f45ee.jpg
Toyota,Land Cruiser (200),J200 (2007 - 2012),https://static.am/automobile_m3/document/l/d/3d/d3d910e4bc5dfcac8cff891e3861bb2e.jpg
Toyota,Land Cruiser (200),J200 (2007 - 2012),https://static.am/automobile_m3/document/l/2/16/2160a9b8d9887240b18f8b2f2e8573cc.jpg
Toyota,Land Cruiser (200),J200 (2007 - 2012),https://static.am/automobile_m3/document/l/4/45/44563e080d0923172fb5dc69eed4a35d.jpg
Toyota,Land Cruiser (200),J200 (2007 - 2012),https://static.am/automobile_m3/document/l/a/e9/ae920db5f7735713c8756b05bc3040c2.jpg
Toyota,Land Cruiser (200),J200 (2007 - 2012),https://static.am/automobile_m3/document/l/f/53/f53338c443c85d8c539fb6a110c95b1b.jpg
Toyota,Land Cruiser (200),J200 (2007 - 2012),https://static.am/automobile_m3/document/l/5/8e/58e2911751fcd6631be62f0eae07e09c.jpg
Toyota,Land Cruiser (200),J200 (2007 - 2012),https://static.am/automobile_m3/document/l/0/ab/0abe153fb754cad5a9013bfab7449081.jpg
Volkswagen,Passat CC,1 поколение (2008 - 2012),https://static.am/automobile_m3/document/l/5/2c/52c85c6288607171801f9a58948c2b12.jpg
Volkswagen,Passat CC,1 поколение (2008 - 2012),https://static.am/automobile_m3/document/l/0/c7/0c770ff1f1ba7dcd13ed9ab8d7852123.jpg
